"Resultaträkning för kommuner efter region, år, resultaträkningsposter och tabellinnehåll"

"region","år","resultaträkningsposter","Kr/invånare, löpande priser","Tkr, löpande priser"
"0114 Upplands Väsby","1998","skatteintäkter",24393,897383
"0114 Upplands Väsby","1999","skatteintäkter",25583,949536
"0114 Upplands Väsby","2000","skatteintäkter",27430,1030710
"0114 Upplands Väsby","2001","skatteintäkter",29703,1114591
"0114 Upplands Väsby","2002","skatteintäkter",31702,1187046
"0114 Upplands Väsby","2003","skatteintäkter",33723,1261155
"0114 Upplands Väsby","2004","skatteintäkter",33614,1261098
"0114 Upplands Väsby","2005","skatteintäkter",33526,1261400
"0114 Upplands Väsby","2006","skatteintäkter",34790,1316730
"0114 Upplands Väsby","2007","skatteintäkter",35752,1360552
"0114 Upplands Väsby","2008","skatteintäkter",36780,1406765
"0114 Upplands Väsby","2009","skatteintäkter",36506,1410636
"0114 Upplands Väsby","2010","skatteintäkter",36332,1427449
"0114 Upplands Väsby","2011","skatteintäkter",36784,1478506
"0114 Upplands Väsby","2012","skatteintäkter",37498,1527012
"0114 Upplands Väsby","2013","skatteintäkter",38400,1591627
"0114 Upplands Väsby","2014","skatteintäkter",39408,1647867
"0114 Upplands Väsby","2015","skatteintäkter",41120,1754223
"0114 Upplands Väsby","2016","skatteintäkter",42236,1853785
"0114 Upplands Väsby","2017","skatteintäkter",43600,1944788
"0114 Upplands Väsby","2018","skatteintäkter",43787,1994208
"0114 Upplands Väsby","2019","skatteintäkter",44386,2076660
"0114 Upplands Väsby","2020","skatteintäkter",44174,2084321
"0114 Upplands Väsby","2021","skatteintäkter",46742,2235203
"0114 Upplands Väsby","2022","skatteintäkter",48499,2389181
"0115 Vallentuna","1998","skatteintäkter",21156,512948
"0115 Vallentuna","1999","skatteintäkter",22255,548353
"0115 Vallentuna","2000","skatteintäkter",23690,597658
"0115 Vallentuna","2001","skatteintäkter",25194,646055
"0115 Vallentuna","2002","skatteintäkter",26894,696688
"0115 Vallentuna","2003","skatteintäkter",29911,786840
"0115 Vallentuna","2004","skatteintäkter",30646,824049
"0115 Vallentuna","2005","skatteintäkter",30645,839572
"0115 Vallentuna","2006","skatteintäkter",32103,894660
"0115 Vallentuna","2007","skatteintäkter",33753,957991
"0115 Vallentuna","2008","skatteintäkter",34903,1010584
"0115 Vallentuna","2009","skatteintäkter",35411,1039696
"0115 Vallentuna","2010","skatteintäkter",35567,1071050
"0115 Vallentuna","2011","skatteintäkter",37339,1146873
"0115 Vallentuna","2012","skatteintäkter",38129,1190202
"0115 Vallentuna","2013","skatteintäkter",39881,1260868
"0115 Vallentuna","2014","skatteintäkter",41203,1317230
"0115 Vallentuna","2015","skatteintäkter",42883,1388555
"0115 Vallentuna","2016","skatteintäkter",45058,1477231
"0115 Vallentuna","2017","skatteintäkter",46539,1543926
"0115 Vallentuna","2018","skatteintäkter",47583,1590785
"0115 Vallentuna","2019","skatteintäkter",48426,1650856
"0115 Vallentuna","2020","skatteintäkter",48673,1660677
"0115 Vallentuna","2021","skatteintäkter",51159,1751993
"0115 Vallentuna","2022","skatteintäkter",54162,1887604
"0117 Österåker","1998","skatteintäkter",23859,796805
"0117 Österåker","1999","skatteintäkter",25199,853275
"0117 Österåker","2000","skatteintäkter",26918,926706
"0117 Österåker","2001","skatteintäkter",29778,1045438
"0117 Österåker","2002","skatteintäkter",31681,1128879
"0117 Österåker","2003","skatteintäkter",34231,1238585
"0117 Österåker","2004","skatteintäkter",33610,1239117
"0117 Österåker","2005","skatteintäkter",33001,1232124
"0117 Österåker","2006","skatteintäkter",34170,1294309
"0117 Österåker","2007","skatteintäkter",35590,1362595
"0117 Österåker","2008","skatteintäkter",37504,1452163
"0117 Österåker","2009","skatteintäkter",37902,1484724
"0117 Österåker","2010","skatteintäkter",38444,1519347
"0117 Österåker","2011","skatteintäkter",39171,1558708
"0117 Österåker","2012","skatteintäkter",40293,1622559
"0117 Österåker","2013","skatteintäkter",41156,1666616
"0117 Österåker","2014","skatteintäkter",41595,1712880
"0117 Österåker","2015","skatteintäkter",42873,1806255
"0117 Österåker","2016","skatteintäkter",42855,1855318
"0117 Österåker","2017","skatteintäkter",42916,1893890
"0117 Österåker","2018","skatteintäkter",42632,1911242
"0117 Österåker","2019","skatteintäkter",43297,1973236
"0117 Österåker","2020","skatteintäkter",42831,1997829
"0117 Österåker","2021","skatteintäkter",43988,2121734
"0117 Österåker","2022","skatteintäkter",46210,2270658
"0120 Värmdö","1998","skatteintäkter",20390,599374
"0120 Värmdö","1999","skatteintäkter",21733,658937
"0120 Värmdö","2000","skatteintäkter",23717,741391
"0120 Värmdö","2001","skatteintäkter",26539,851788
"0120 Värmdö","2002","skatteintäkter",29384,959796
"0120 Värmdö","2003","skatteintäkter",32248,1068499
"0120 Värmdö","2004","skatteintäkter",32748,1114390
"0120 Värmdö","2005","skatteintäkter",32505,1135485
"0120 Värmdö","2006","skatteintäkter",33616,1203552
"0120 Värmdö","2007","skatteintäkter",34768,1281891
"0120 Värmdö","2008","skatteintäkter",37246,1392106
"0120 Värmdö","2009","skatteintäkter",38391,1449483
"0120 Värmdö","2010","skatteintäkter",39139,1499047
"0120 Värmdö","2011","skatteintäkter",40697,1582873
"0120 Värmdö","2012","skatteintäkter",41726,1643476
"0120 Värmdö","2013","skatteintäkter",43422,1727482
"0120 Värmdö","2014","skatteintäkter",43661,1770058
"0120 Värmdö","2015","skatteintäkter",45267,1860795
"0120 Värmdö","2016","skatteintäkter",47027,1975133
"0120 Värmdö","2017","skatteintäkter",46360,2014083
"0120 Värmdö","2018","skatteintäkter",46439,2061747
"0120 Värmdö","2019","skatteintäkter",47780,2150109
"0120 Värmdö","2020","skatteintäkter",48485,2209274
"0120 Värmdö","2021","skatteintäkter",51531,2382379
"0120 Värmdö","2022","skatteintäkter",54371,2525893
"0123 Järfälla","1998","skatteintäkter",24569,1470174
"0123 Järfälla","1999","skatteintäkter",26006,1565277
"0123 Järfälla","2000","skatteintäkter",27766,1679023
"0123 Järfälla","2001","skatteintäkter",29871,1826053
"0123 Järfälla","2002","skatteintäkter",31173,1910617
"0123 Järfälla","2003","skatteintäkter",33481,2058207
"0123 Järfälla","2004","skatteintäkter",34042,2095766
"0123 Järfälla","2005","skatteintäkter",34081,2104234
"0123 Järfälla","2006","skatteintäkter",35492,2212615
"0123 Järfälla","2007","skatteintäkter",35681,2263158
"0123 Järfälla","2008","skatteintäkter",36632,2357431
"0123 Järfälla","2009","skatteintäkter",35986,2349679
"0123 Järfälla","2010","skatteintäkter",36011,2384305
"0123 Järfälla","2011","skatteintäkter",36953,2487684
"0123 Järfälla","2012","skatteintäkter",37667,2569247
"0123 Järfälla","2013","skatteintäkter",39022,2699002
"0123 Järfälla","2014","skatteintäkter",39300,2778535
"0123 Järfälla","2015","skatteintäkter",40052,2900931
"0123 Järfälla","2016","skatteintäkter",41234,3068335
"0123 Järfälla","2017","skatteintäkter",42033,3213556
"0123 Järfälla","2018","skatteintäkter",42667,3348524
"0123 Järfälla","2019","skatteintäkter",43795,3503137
"0123 Järfälla","2020","skatteintäkter",43813,3560846
"0123 Järfälla","2021","skatteintäkter",46017,3827263
"0123 Järfälla","2022","skatteintäkter",47447,4054849
"0125 Ekerö","1998","skatteintäkter",25078,535844
"0125 Ekerö","1999","skatteintäkter",25969,569827
"0125 Ekerö","2000","skatteintäkter",28105,625787
"0125 Ekerö","2001","skatteintäkter",29893,676364
"0125 Ekerö","2002","skatteintäkter",31959,733002
"0125 Ekerö","2003","skatteintäkter",35255,821826
"0125 Ekerö","2004","skatteintäkter",33524,790958
"0125 Ekerö","2005","skatteintäkter",33687,808830
"0125 Ekerö","2006","skatteintäkter",35560,864137
"0125 Ekerö","2007","skatteintäkter",37189,918079
"0125 Ekerö","2008","skatteintäkter",39315,974186
"0125 Ekerö","2009","skatteintäkter",40159,1007781
"0125 Ekerö","2010","skatteintäkter",40369,1025764
"0125 Ekerö","2011","skatteintäkter",41460,1068287
"0125 Ekerö","2012","skatteintäkter",42956,1123732
"0125 Ekerö","2013","skatteintäkter",44673,1177346
"0125 Ekerö","2014","skatteintäkter",45995,1227973
"0125 Ekerö","2015","skatteintäkter",47739,1288178
"0125 Ekerö","2016","skatteintäkter",49745,1363309
"0125 Ekerö","2017","skatteintäkter",53426,1482745
"0125 Ekerö","2018","skatteintäkter",52919,1498044
"0125 Ekerö","2019","skatteintäkter",53756,1542270
"0125 Ekerö","2020","skatteintäkter",56309,1626146
"0125 Ekerö","2021","skatteintäkter",56526,1644688
"0125 Ekerö","2022","skatteintäkter",60223,1753882
"0126 Huddinge","1998","skatteintäkter",22296,1813549
"0126 Huddinge","1999","skatteintäkter",23589,1954786
"0126 Huddinge","2000","skatteintäkter",25316,2140056
"0126 Huddinge","2001","skatteintäkter",27223,2332987
"0126 Huddinge","2002","skatteintäkter",29172,2522094
"0126 Huddinge","2003","skatteintäkter",32093,2795951
"0126 Huddinge","2004","skatteintäkter",32738,2870494
"0126 Huddinge","2005","skatteintäkter",32559,2889651
"0126 Huddinge","2006","skatteintäkter",33710,3040052
"0126 Huddinge","2007","skatteintäkter",34350,3154265
"0126 Huddinge","2008","skatteintäkter",35210,3317135
"0126 Huddinge","2009","skatteintäkter",35069,3359578
"0126 Huddinge","2010","skatteintäkter",35415,3451285
"0126 Huddinge","2011","skatteintäkter",36644,3629548
"0126 Huddinge","2012","skatteintäkter",37400,3777796
"0126 Huddinge","2013","skatteintäkter",38645,3963338
"0126 Huddinge","2014","skatteintäkter",39153,4079118
"0126 Huddinge","2015","skatteintäkter",40959,4313414
"0126 Huddinge","2016","skatteintäkter",42292,4548023
"0126 Huddinge","2017","skatteintäkter",43639,4800378
"0126 Huddinge","2018","skatteintäkter",44209,4939118
"0126 Huddinge","2019","skatteintäkter",45717,5159085
"0126 Huddinge","2020","skatteintäkter",46360,5249574
"0126 Huddinge","2021","skatteintäkter",49140,5599578
"0126 Huddinge","2022","skatteintäkter",51319,5876220
"0127 Botkyrka","1998","skatteintäkter",22246,1578302
"0127 Botkyrka","1999","skatteintäkter",23167,1671563
"0127 Botkyrka","2000","skatteintäkter",24741,1808501
"0127 Botkyrka","2001","skatteintäkter",25156,1865318
"0127 Botkyrka","2002","skatteintäkter",25577,1923812
"0127 Botkyrka","2003","skatteintäkter",26858,2025977
"0127 Botkyrka","2004","skatteintäkter",27409,2078440
"0127 Botkyrka","2005","skatteintäkter",27558,2110719
"0127 Botkyrka","2006","skatteintäkter",28829,2235789
"0127 Botkyrka","2007","skatteintäkter",29281,2314120
"0127 Botkyrka","2008","skatteintäkter",30380,2432059
"0127 Botkyrka","2009","skatteintäkter",30299,2460093
"0127 Botkyrka","2010","skatteintäkter",30526,2521724
"0127 Botkyrka","2011","skatteintäkter",31037,2628154
"0127 Botkyrka","2012","skatteintäkter",31646,2730249
"0127 Botkyrka","2013","skatteintäkter",32520,2848080
"0127 Botkyrka","2014","skatteintäkter",33110,2943470
"0127 Botkyrka","2015","skatteintäkter",34793,3111389
"0127 Botkyrka","2016","skatteintäkter",36266,3288403
"0127 Botkyrka","2017","skatteintäkter",37755,3470602
"0127 Botkyrka","2018","skatteintäkter",38376,3573025
"0127 Botkyrka","2019","skatteintäkter",39076,3696864
"0127 Botkyrka","2020","skatteintäkter",39392,3736186
"0127 Botkyrka","2021","skatteintäkter",41913,3995049
"0127 Botkyrka","2022","skatteintäkter",44393,4234299
"0128 Salem","1998","skatteintäkter",22881,301474
"0128 Salem","1999","skatteintäkter",24024,323695
"0128 Salem","2000","skatteintäkter",25635,352886
"0128 Salem","2001","skatteintäkter",27945,386737
"0128 Salem","2002","skatteintäkter",30223,419347
"0128 Salem","2003","skatteintäkter",32053,450569
"0128 Salem","2004","skatteintäkter",33580,474385
"0128 Salem","2005","skatteintäkter",32899,471571
"0128 Salem","2006","skatteintäkter",33876,498480
"0128 Salem","2007","skatteintäkter",34483,519484
"0128 Salem","2008","skatteintäkter",36350,551685
"0128 Salem","2009","skatteintäkter",36911,565220
"0128 Salem","2010","skatteintäkter",38267,588960
"0128 Salem","2011","skatteintäkter",38998,612035
"0128 Salem","2012","skatteintäkter",40125,637231
"0128 Salem","2013","skatteintäkter",41462,663433
"0128 Salem","2014","skatteintäkter",42369,683836
"0128 Salem","2015","skatteintäkter",43818,719749
"0128 Salem","2016","skatteintäkter",44648,741829
"0128 Salem","2017","skatteintäkter",46218,770219
"0128 Salem","2018","skatteintäkter",47476,796929
"0128 Salem","2019","skatteintäkter",49447,828237
"0128 Salem","2020","skatteintäkter",48661,825238
"0128 Salem","2021","skatteintäkter",49786,858902
"0128 Salem","2022","skatteintäkter",51270,889636
"0136 Haninge","1998","skatteintäkter",22310,1511820
"0136 Haninge","1999","skatteintäkter",23371,1603485
"0136 Haninge","2000","skatteintäkter",24954,1737885
"0136 Haninge","2001","skatteintäkter",26352,1856050
"0136 Haninge","2002","skatteintäkter",27730,1966113
"0136 Haninge","2003","skatteintäkter",29454,2102316
"0136 Haninge","2004","skatteintäkter",30218,2156234
"0136 Haninge","2005","skatteintäkter",31204,2241568
"0136 Haninge","2006","skatteintäkter",32397,2363530
"0136 Haninge","2007","skatteintäkter",33272,2452089
"0136 Haninge","2008","skatteintäkter",34319,2572845
"0136 Haninge","2009","skatteintäkter",34159,2604167
"0136 Haninge","2010","skatteintäkter",34603,2666312
"0136 Haninge","2011","skatteintäkter",34943,2736947
"0136 Haninge","2012","skatteintäkter",35920,2853128
"0136 Haninge","2013","skatteintäkter",36470,2951572
"0136 Haninge","2014","skatteintäkter",36805,3032990
"0136 Haninge","2015","skatteintäkter",38177,3201788
"0136 Haninge","2016","skatteintäkter",39450,3380609
"0136 Haninge","2017","skatteintäkter",40496,3565110
"0136 Haninge","2018","skatteintäkter",40957,3685685
"0136 Haninge","2019","skatteintäkter",41804,3849913
"0136 Haninge","2020","skatteintäkter",41688,3905760
"0136 Haninge","2021","skatteintäkter",44072,4215881
"0136 Haninge","2022","skatteintäkter",46234,4516306
"0138 Tyresö","1998","skatteintäkter",23251,884616
"0138 Tyresö","1999","skatteintäkter",24835,958117
"0138 Tyresö","2000","skatteintäkter",26790,1046719
"0138 Tyresö","2001","skatteintäkter",28992,1143256
"0138 Tyresö","2002","skatteintäkter",31410,1247605
"0138 Tyresö","2003","skatteintäkter",32971,1322023
"0138 Tyresö","2004","skatteintäkter",33207,1348371
"0138 Tyresö","2005","skatteintäkter",32955,1355577
"0138 Tyresö","2006","skatteintäkter",34454,1429014
"0138 Tyresö","2007","skatteintäkter",35712,1501590
"0138 Tyresö","2008","skatteintäkter",37551,1589610
"0138 Tyresö","2009","skatteintäkter",38225,1628456
"0138 Tyresö","2010","skatteintäkter",38790,1665931
"0138 Tyresö","2011","skatteintäkter",39733,1721570
"0138 Tyresö","2012","skatteintäkter",40913,1790535
"0138 Tyresö","2013","skatteintäkter",41715,1847181
"0138 Tyresö","2014","skatteintäkter",41779,1896332
"0138 Tyresö","2015","skatteintäkter",43514,2009365
"0138 Tyresö","2016","skatteintäkter",45094,2124066
"0138 Tyresö","2017","skatteintäkter",47488,2246360
"0138 Tyresö","2018","skatteintäkter",48467,2326633
